# Comments start with a hashtag because of how CSV is read,,,,
Organization,Acronym,Website,Keywords,Type
DiversifyEEB (Ecologists and Evolutionary Biologists),,https://diversifyeeb.com/,,DiversityList
DiverisfyImmunology,,https://diversifyimmunology.github.io/,,DiversityList
DiversifyMicrobiology,,https://diversifymicrobiology.github.io/,,DiversityList
DiversifyPlantSci,,https://tinyurl.com/DiversifyPlantSci,,DiversityList
Diversify STEM Conferences,,https://dscnatl.org/,,DiversityList
LGBT+ Physicists,,https://lgbtphysicists.org/outlist.html,,DiversityList
Respect Ability: LGBTQ+ People with Disabilities,,https://www.respectability.org/resources/lgbtq/,,DiversityList
# Podcasts,,,,
A OK,,https://www.aokpod.com/,,Podcast
Assigned Scientist at Bachelor’s,,https://asabpodcast.com/,,Podcast
Black Men in White Coats,,https://www.blackmeninwhitecoats.org/bmwc-podcast/,,Podcast
Black Mental Matters,,http://blackmentalmatters.com/podcasts/,,Podcast
Blk + In Grad School,,https://www.blkingradschool.com/,,Podcast
Cite Black Women,,https://www.citeblackwomencollective.org/our-podcast.html,,Podcast
Conexiones: Historias de Latinos en STEM,,https://www.stitcher.com/show/conexiones,,Podcast
The Curbsiders (Internal Medicine),,https://thecurbsiders.com/,,Podcast
Disability After Dark,,https://www.stitcher.com/show/disabilityafterdark,,Podcast
Double Shelix,,https://doubleshelix.podomatic.com/,,Podcast
Full Soul Nutrition,,https://soundcloud.com/info-267334292,,Podcast
Her STEM Story,,https://herstemstory.com/,,Podcast
How to Be a STEMinist,,https://podcast.tiffanydawson.co/,,Podcast
I Don't Do Budgets,,https://www.idontdobudgets.com/,,Podcast
Inside the Match,,https://anchor.fm/simone-a-bernstein,,Podcast
LGBTQ+ STEM Cast,,https://anchor.fm/lgbtqstemcast,,Podcast
MannMukti,,https://www.mannmukti.org/podcasts,,Podcast
Mental Matters Podcast,,http://www.mentalmatterspod.com/,,Podcast
My Fave Queer Chemist,,https://www.stitcher.com/show/my-fave-queer-chemist/,,Podcast
Ologies,,https://www.alieward.com/ologies,,Podcast
Queer STEM History,,https://player.whooshkaa.com/shows/queer-stem-history,,Podcast
The Research Her,,https://theresearchher.com/category/podcast/,,Podcast
SciCurious Podcast,,https://www.scicurious.co.uk/,,Podcast
She Too STEM,,http://www.shetoostem.com/,,Podcast
The Steministas,,https://www.thesteministas.com/,,Podcast
STEM Diversity Podcast,,https://www.stitcher.com/show/stem-diversity-podcast,,Podcast
STEM Equity Network,,https://stemequitynetwork.com/,,Podcast
STEM Everyday,,https://podbay.fm/p/stem-everyday,,Podcast
STEM Fatale Podcast,,https://stemfatalepodcast.podbean.com/,,Podcast
STEMulating Conversations,,http://stemulatingconvo.com/,,Podcast
Therapy for Black Girls,,https://therapyforblackgirls.com/podcast/,"mental health, Black, women",Podcast
The Science of Happiness,,https://greatergood.berkeley.edu/podcasts/series/the_science_of_happiness,science,Podcast
